0,1,2,3
-100.0,-8.0,-9.656601986033333,0.0
0.0,0.0,0.0,0.0
-100.0,-10.666666666666668,-6.989935319366667,-14.75915606666667
-73.998253501855,-73.33333333333329,-432.2073999866458,-78.44400300730595
-100.0,-100.0,-23.868830333333335,-26.568179550000004
-480.7471071759496,-479.20016728817,-299.84496748704066,-628.5985474153981
-100.0,-100.0,-100.0,-72.6915330656706
-99.24240649999999,-100.0,-118.6886455914424,-114.8419315
-9985.86054934685,-9985.864783671834,-9985.873360178397,-9004.796414636661
-40.39403483333334,-116.302,-100.0,-47.9848242988558
-13.298333333333337,-20.26666666666667,-100.0,-12.167851118333335
-33.118331738500004,-111.88,-100.0,-30.906449760305197
-3.5,-100.0,-100.0,-13.852732673166665
-64.81666556045643,-100.0,-111.02390773,-113.59253500000001
-73.06409201000596,-100.0,-100.0,-100.0
-31.083970548333333,-190.0,-100.0,-113.13704260000002
-9999.999999999905,-9999.999999999905,-9999.999999999905,-9999.999999999905
-196.15161284396655,-199.0,-136.43052471785737,-199.0
0.0,0.0,0.0,0.0
-297.01,-297.01,-227.04427459109763,-297.01
-63.847697673839285,-100.0,-100.0,-113.45146000000001
-3992.777350902639,-9146.937629647775,-9140.04717417946,-9146.239436240076
-60.53121331370166,-100.0,-100.0,-100.0
-9999.845319527234,-9999.844878297374,-6679.297518324749,-9999.845011978803
